A_rank 日报 · 2026-09-04 A股板块得分排名

== 今日板块排名 ==
排名  industry  趋势分   动量分   总分    代表股                                                                                                                                       入池   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1   通用设备      5.47  8.5   6.98  海鸥股份(8/8,+94%)、磁谷科技(8/8,+37%)、冠龙节能(8/8,+27%)、华之杰(8/8,+23%)、金帝股份(8/8,+20%)、◎*ST宝馨(+43%)、◎华之杰(+32%)、◎皖仪科技(+31%)、◎雪人集团(+28%)、◎锐新科技(+28%)     趋势+动量
2   IT服务Ⅱ     5.31  8.37  6.84  新炬网络(8/8,+28%)、*ST赛为(8/8,+17%)、亚康股份(8/8,+7%)、竞业达(7/8,+34%)、天利科技(7/8,+17%)、◎新炬网络(+55%)、◎海峡创新(+46%)、◎海量数据(+37%)、◎*ST赛为(+28%)、◎汽轮科技(+21%)    趋势+动量
3   汽车零部件     5.28  8.25  6.77  光洋股份(8/8,+45%)、新朋股份(8/8,+38%)、科华控股(8/8,+22%)、湖南天雁(8/8,+21%)、宁波方正(8/8,+18%)、◎威迈斯(+37%)、◎冠盛股份(+33%)、◎香山股份(+29%)、◎通达电气(+27%)、◎光洋股份(+24%)     趋势+动量
4   养殖业       6.27  6.4   6.33  神农集团(8/8,+20%)、天康生物(8/8,+19%)、立华股份(8/8,+15%)、新五丰(8/8,+13%)、温氏股份(8/8,+13%)、◎新五丰(+25%)、◎罗 牛 山(+22%)、◎神农集团(+21%)、◎天邦食品(+20%)、◎天康生物(+19%)     动量   
5   饲料        6     6.19  6.1   播恩集团(8/8,+24%)、邦基科技(7/8,+41%)、百洋股份(7/8,+22%)、正虹科技(7/8,+19%)、新 希 望(7/8,+11%)、◎新 希 望(+26%)、◎正虹科技(+24%)、◎邦基科技(+22%)、◎傲农生物(+21%)、◎天马科技(+20%)  动量   
6   软件开发      5.42  6.71  6.06  龙软科技(8/8,+14%)、深信服(8/8,+10%)、财富趋势(8/8,+9%)、麒麟信安(7/8,+28%)、四方精创(7/8,+24%)、◎四方精创(+39%)、◎金现代(+36%)、◎英方软件(+28%)、◎亚信安全(+17%)、◎金橙子(+15%)        趋势+动量
7   一般零售      5.63  5.95  5.79  国芳集团(8/8,+60%)、百大集团(8/8,+30%)、上海九百(7/8,+18%)、中兴商业(7/8,+18%)、东百集团(7/8,+14%)、◎百大集团(+48%)、◎国芳集团(+43%)、◎合百集团(+16%)、◎东百集团(+15%)、◎茂业商业(+15%)    趋势+动量
8   出版        5.6   5.94  5.77  龙版传媒(8/8,+64%)、出版传媒(8/8,+22%)、时代出版(7/8,+17%)、读者传媒(7/8,+9%)、内蒙新华(7/8,+8%)、◎龙版传媒(+64%)、◎出版传媒(+29%)、◎中国出版(+28%)、◎中原传媒(+12%)、◎内蒙新华(+9%)       动量   
9   工程咨询服务Ⅱ   5.71  5.77  5.74  华阳国际(8/8,+35%)、经纬股份(8/8,+20%)、华建集团(8/8,+15%)、华蓝集团(8/8,+6%)、深圳瑞捷(7/8,+15%)、◎华建集团(+34%)、◎中国瑞林(+29%)、◎华阳国际(+23%)、◎招标股份(+19%)、◎经纬股份(+17%)     动量   
