ticker,prefixed,name,sector,industry,date,close,chg20,m,chg1,uptrend,market_cap
AEHR,usAEHR.OQ,Aehr Test Systems Common Stock,工业,半导体,2026-09-08,90.79,-14.5,10.97,5.25,5/8,2972375404.0
AEVA,usAEVA.OQ,Aeva Technologies Inc. Common Stock,非必需消费,非银行金融,2026-09-08,16.25,-31.4,5.15,3.57,5/8,1100653919.0
ABVX,usABVX.OQ,Abivax SA American Depositary Shares,医疗保健,化学制药,2026-09-08,118.95,-6.7,4.52,3.62,6/8,10031735218.0
AHCO,usAHCO.OQ,AdaptHealth Corp. Common Stock,医疗保健,医药商业,2026-09-08,6.19,18.6,-2.89,-4.62,7/8,773071591.0
ADUS,usADUS.OQ,Addus HomeCare Corporation Common Stock,医疗保健,医疗服务,2026-09-08,119.32,-0.0,0.59,0.47,5/8,2254174753.0
ACT,usACT.OQ,Enact Holdings Inc. Common Stock,金融,非银行金融,2026-09-08,49.3,2.1,0.14,0.06,7/8,6765571450.0
ACLS,usACLS.OQ,Axcelis Technologies Inc. Common Stock,科技,半导体,2026-09-08,119.17,-10.2,5.69,3.55,5/8,3716896016.0
ABUS,usABUS.OQ,Arbutus Biopharma Corporation Common Stock,医疗保健,生物医药,2026-09-08,5.18,12.9,0.96,0.58,5/8,1026830264.0
AAON,usAAON.OQ,AAON Inc. Common Stock,工业,其他建材,2026-09-08,79.4,-10.9,1.9,0.0,6/8,6578151319.0
ADMA,usADMA.OQ,ADMA Biologics Inc Common Stock,医疗保健,生物医药,2026-09-08,9.54,-2.2,-0.48,-0.83,5/8,2156972468.0
ADI,usADI.OQ,Analog Devices Inc. Common Stock,科技,半导体,2026-09-08,363.2,-5.1,1.12,0.26,5/8,180161439887.0
AEP,usAEP.OQ,American Electric Power Company Inc. Common Stock,公用事业,电力,2026-09-08,125.42,2.1,0.84,0.74,6/8,67156857343.0
ADEA,usADEA.OQ,Adeia Inc. Common Stock,Telecommunications,广播电视,2026-09-08,27.2,-2.2,5.15,2.64,5/8,2881620320.0
ALGM,usALGM.OQ,Allegro MicroSystems Inc. Common Stock,科技,半导体,2026-09-08,36.47,-14.1,1.14,-0.38,5/8,6876371477.0
ALAB,usALAB.OQ,Astera Labs Inc. Common Stock,科技,半导体,2026-09-08,288.85,-8.9,-1.76,-6.94,5/8,50362725691.0
ALM,usALM.OQ,Almonty Industries Inc. Common Shares,基础材料,基本金属,2026-09-08,19.12,39.6,8.18,8.82,5/8,5255108233.0
ALNY,usALNY.OQ,Alnylam Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-08,260.1,19.9,-2.17,-2.26,5/8,31980379202.0
ALT,usALT.OQ,Altimmune Inc. Common Stock,医疗保健,生物医药,2026-09-08,3.36,10.2,0.82,-1.75,5/8,612730758.0
AMD,usAMD.OQ,Advanced Micro Devices Inc. Common Stock,科技,半导体,2026-09-08,505.74,7.7,8.34,5.9,6/8,785106221949.0
ANAB,usANAB.OQ,AnaptysBio Inc. Common Stock,医疗保健,生物医药,2026-09-08,56.6,2.0,-0.35,-0.35,6/8,1717291898.0
ANDE,usANDE.OQ,Andersons Inc. (The) Common Stock,工业,贸易,2026-09-08,70.92,8.3,1.78,2.32,6/8,2216566187.0
AMSC,usAMSC.OQ,American Superconductor Corporation Common Stock,非必需消费,其他电气设备,2026-09-08,30.44,-1.8,4.35,3.01,5/8,1428558797.0
APLD,usAPLD.OQ,Applied Digital Corporation Common Stock,科技,计算机软件,2026-09-08,28.31,-2.6,9.19,7.36,6/8,7831775039.0
APGE,usAPGE.OQ,Apogee Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-02,135.07,0.6,0.01,-0.01,7/8,10214059838.0
APPS,usAPPS.OQ,Digital Turbine Inc. Common Stock,其他,计算机软件,2026-09-08,11.3,-21.5,7.02,5.51,5/8,1311816150.0
ARWR,usARWR.OQ,Arrowhead Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-08,85.11,-3.6,-1.25,-1.42,5/8,12588598099.0
AMKR,usAMKR.OQ,Amkor Technology Inc. Common Stock,科技,半导体,2026-09-08,50.72,-3.9,7.01,6.18,5/8,12025099645.0
ARM,usARM.OQ,Arm Holdings plc American Depositary Shares,科技,半导体,2026-09-08,261.53,-2.4,6.49,3.74,6/8,267141711567.0
ASO,usASO.OQ,Academy Sports and Outdoors Inc. Common Stock,非必需消费,零售,2026-09-08,44.71,-10.4,0.96,-0.51,6/8,2700900057.0
ARXS,usARXS.OQ,Arxis Inc. Class A Common Stock,工业,航空航天装备,2026-09-08,53.19,-7.5,0.36,-0.8,6/8,22472645337.0
ASPI,usASPI.OQ,ASP Isotopes Inc. Common Stock,工业,化学原料,2026-09-08,4.22,-1.6,4.18,0.48,6/8,604805504.0
ASND,usASND.OQ,Ascendis Pharma A/S Ordinary Share,医疗保健,生物医药,2026-09-08,270.09,5.7,0.01,-0.17,8/8,16434739321.0
ASML,usASML.OQ,ASML Holding N.V. New York Registry Shares,科技,半导体,2026-09-08,1764.85,1.8,4.6,2.91,5/8,672800492731.0
AUR,usAUR.OQ,Aurora Innovation Inc. Class A Common Stock,科技,基本金属,2026-09-08,6.51,-6.7,4.5,2.68,7/8,11543934344.0
ATLC,usATLC.OQ,Atlanticus Holdings Corporation Common Stock,金融,非银行金融,2026-09-08,93.81,-2.1,-0.54,0.73,6/8,1409599931.0
AVTX,usAVTX.OQ,Avalo Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-08,19.71,-0.3,2.75,2.5,5/8,1102096274.0
ASST,usASST.OQ,Strive Inc. Class A Common Stock,科技,非银行金融,2026-09-08,27.16,118.3,2.75,0.07,6/8,1928193595.0
BANR,usBANR.OQ,Banner Corporation Common Stock,金融,银行,2026-09-08,69.92,-2.1,-1.4,-1.73,5/8,2391178197.0
ATRC,usATRC.OQ,AtriCure Inc. Common Stock,医疗保健,医疗器械,2026-09-08,53.73,29.0,3.3,4.29,8/8,2450229382.0
AVT,usAVT.OQ,Avnet Inc. Common Stock,科技,电子器件,2026-09-08,92.05,-5.1,1.26,0.39,6/8,7410369274.0
AXTI,usAXTI.OQ,AXT Inc Common Stock,科技,半导体,2026-09-08,69.56,-5.8,17.98,12.85,6/8,4274061958.0
AVAH,usAVAH.OQ,Aveanna Healthcare Holdings Inc. Common Stock,医疗保健,医疗服务,2026-09-08,13.66,44.4,1.04,0.59,5/8,2972152260.0
AVAV,usAVAV.OQ,AeroVironment Inc. Common Stock,工业,航空航天装备,2026-09-08,148.78,-21.3,2.21,2.86,5/8,7464825691.0
BKR,usBKR.OQ,Baker Hughes Company Class A Common Stock,非必需消费,石油天然气,2026-09-08,63.92,-0.2,0.24,0.66,6/8,61545792402.0
BANF,usBANF.OQ,BancFirst Corporation Common Stock,金融,银行,2026-09-08,111.29,-0.9,-0.8,-1.42,6/8,3756339691.0
BPOP,usBPOP.OQ,Popular Inc. Common Stock,金融,银行,2026-09-08,167.58,-3.7,-2.1,-2.18,5/8,10826400545.0
BLTE,usBLTE.OQ,Belite Bio Inc American Depositary Shares,医疗保健,化学制药,2026-09-08,192.85,15.3,7.63,-0.39,7/8,6310242243.0
BTBT,usBTBT.OQ,Bit Digital Inc. Ordinary Shares,金融,非银行金融,2026-09-08,1.7,30.8,7.58,3.66,6/8,562588265.0
BLBD,usBLBD.OQ,Blue Bird Corporation Common Stock,非必需消费,化学制品,2026-09-08,63.95,-2.1,1.11,0.5,6/8,1916400360.0
BRUN,usBRUN.OQ,Boost Run Inc. Class A Common Stock,科技,计算机软件,2026-09-08,18.82,7.5,9.42,6.69,5/8,1445876552.0
BLLN,usBLLN.OQ,BillionToOne Inc. Class A Common Stock,医疗保健,医疗器械,2026-09-08,99.06,0.4,0.31,-0.33,6/8,4540336796.0
BRKR,usBRKR.OQ,Bruker Corporation Common Stock,工业,医疗器械,2026-09-08,58.37,3.6,-0.86,-0.22,5/8,8693622571.0
BUSE,usBUSE.OQ,First Busey Corporation Class A Common Stock,金融,银行,2026-09-08,30.42,-1.3,-0.67,-0.78,6/8,2488043684.0
BULL,usBULL.OQ,Webull Corporation Class A Ordinary Shares,金融,非银行金融,2026-09-08,9.57,31.8,-0.9,-1.75,6/8,4651331529.0
BTDR,usBTDR.OQ,Bitdeer Technologies Group Class A Ordinary Shares,金融,非银行金融,2026-09-08,12.67,45.6,6.68,2.34,6/8,2899916554.0
CBRS,usCBRS.OQ,Cerebras Systems Inc. Class A Common Stock,科技,半导体,2026-09-08,199.77,-13.1,0.68,-4.89,6/8,43272290068.0
CAE,usCAE.OQ,CAE Inc. Common Shares,其他,航空航天装备,2026-09-08,24.28,-9.6,-0.05,-0.53,5/8,8124523838.0
CBSH,usCBSH.OQ,Commerce Bancshares Inc. Common Stock,金融,银行,2026-09-08,58.27,-0.2,0.2,-0.17,7/8,8390782413.0
CBC,usCBC.OQ,Central Bancompany Inc. Class A Common Stock,金融,银行,2026-09-08,32.53,-1.2,-0.16,-0.34,6/8,7750386104.0
CATY,usCATY.OQ,Cathay General Bancorp Common Stock,金融,银行,2026-09-08,61.86,-1.8,-1.05,-1.32,6/8,4138925393.0
CEG,usCEG.OQ,Constellation Energy Corporation Common Stock,公用事业,电力,2026-09-08,299.05,10.8,2.11,0.03,8/8,99035998578.0
CAMT,usCAMT.OQ,Camtek Ltd. Ordinary Shares,科技,半导体,2026-09-08,147.01,-7.0,4.48,0.89,6/8,6668087953.0
CELC,usCELC.OQ,Celcuity Inc. Common Stock,医疗保健,计算机软件,2026-09-08,93.02,2.5,-3.12,-2.8,5/8,4652445813.0
CECO,usCECO.OQ,CECO Environmental Corp. Common Stock,工业,环保,2026-09-08,79.13,12.4,7.58,6.79,7/8,4119216144.0
CENX,usCENX.OQ,Century Aluminum Company Common Stock,工业,基本金属,2026-09-08,47.95,-7.6,1.81,2.5,6/8,4350755315.0
CLMT,usCLMT.OQ,Calumet Inc. Common Stock,能源,石油天然气,2026-09-08,53.91,18.6,1.28,1.47,7/8,4200656603.0
CIFR,usCIFR.OQ,Cipher Digital Inc. Common Stock,金融,非银行金融,2026-09-08,18.51,13.3,8.53,4.34,6/8,6648792166.0
CGNX,usCGNX.OQ,Cognex Corporation Common Stock,工业,电子设备制造,2026-09-08,62.23,-3.2,1.46,-0.03,5/8,10382775528.0
CLYM,usCLYM.OQ,Climb Bio Inc. Common Stock,医疗保健,生物医药,2026-09-08,15.9,17.4,5.05,2.45,6/8,923574980.0
COLB,usCOLB.OQ,Columbia Banking System Inc. Common Stock,金融,银行,2026-09-08,30.27,-2.0,-0.91,-1.72,6/8,8687928650.0
CNXN,usCNXN.OQ,PC Connection Inc. Common Stock,非必需消费,电子器件,2026-09-08,83.64,1.8,0.28,-0.84,7/8,2003652680.0
CORZ,usCORZ.OQ,Core Scientific Inc. Common Stock,金融,银行,2026-09-08,18.73,-3.7,6.02,4.7,6/8,5597750482.0
CNOB,usCNOB.OQ,ConnectOne Bancorp Inc. Common Stock,金融,银行,2026-09-08,31.86,-1.6,-0.8,-1.39,6/8,1735823299.0
CHA,usCHA.OQ,Chagee Holdings Limited American Depositary Shares,非必需消费,休闲服务,2026-09-08,12.59,23.3,8.92,7.98,7/8,2027814155.0
COHU,usCOHU.OQ,Cohu Inc. Common Stock,工业,半导体,2026-09-08,53.17,7.5,10.35,4.83,5/8,2417100389.0
CLSK,usCLSK.OQ,CleanSpark Inc. Common Stock,金融,计算机软件,2026-09-08,13.48,16.3,9.05,6.23,6/8,3128031949.0
CLBK,usCLBK.OQ,Columbia Financial Inc. Common Stock,金融,非银行金融,2026-09-08,11.63,8.1,-0.51,-0.6,6/8,1209031590.0
CRNX,usCRNX.OQ,Crinetics Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-08-31,84.95,1.4,0.13,0.13,6/8,8998574028.0
CRSR,usCRSR.OQ,Corsair Gaming Inc. Common Stock,科技,计算机硬件,2026-09-08,12.26,-10.6,-2.74,-3.62,5/8,1280815195.0
CRWV,usCRWV.OQ,CoreWeave Inc. Class A Common Stock,科技,计算机软件,2026-09-08,99.83,13.2,15.95,11.72,7/8,48540736342.0
CVBF,usCVBF.OQ,CVB Financial Corporation Common Stock,金融,银行,2026-09-08,22.31,-1.1,-0.89,-1.37,6/8,3942342544.0
CSIQ,usCSIQ.OQ,Canadian Solar Inc. Common Shares (ON),科技,半导体,2026-09-08,13.87,-11.1,3.98,4.92,5/8,940617962.0
DAKT,usDAKT.OQ,Daktronics Inc. Common Stock,非必需消费,电子设备制造,2026-09-08,19.67,-7.6,1.68,1.65,7/8,942446665.0
CTRN,usCTRN.OQ,Citi Trends Inc. Common Stock,非必需消费,零售,2026-09-08,70.5,-4.9,1.02,-0.93,5/8,575509198.0
DAVE,usDAVE.OQ,Dave Inc. Class A Common Stock,金融,计算机软件,2026-09-08,376.38,21.9,-1.49,-1.13,6/8,4748875256.0
CYTK,usCYTK.OQ,Cytokinetics Incorporated Common Stock,医疗保健,生物医药,2026-09-08,75.35,-2.8,3.33,3.62,5/8,11010654706.0
DORM,usDORM.OQ,Dorman Products Inc. Common Stock,非必需消费,汽车,2026-09-08,128.78,-3.4,-1.13,-1.92,6/8,3840024969.0
CTMX,usCTMX.OQ,CytomX Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-08,3.65,6.1,-1.43,-1.62,6/8,723425623.0
DOO,usDOO.OQ,BRP Inc. Common Subordinate Voting Shares,非必需消费,文娱用品,2026-09-08,63.17,-1.5,-3.61,-6.16,5/8,4447782706.0
ECHO,usECHO.OQ,EchoStar  Corporation Common Stock,非必需消费,通信设备,2026-09-08,93.42,4.8,4.78,4.03,7/8,24868909512.0
DOCU,usDOCU.OQ,DocuSign Inc. Common Stock,科技,互联网服务,2026-09-08,65.08,9.1,-2.93,-4.87,6/8,11328743593.0
DUOL,usDUOL.OQ,Duolingo Inc. Class A Common Stock,科技,教育,2026-09-08,146.39,6.7,-6.41,-5.22,5/8,6591249577.0
DNTH,usDNTH.OQ,Dianthus Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-08,109.13,-2.4,1.38,0.95,5/8,6195291707.0
DXPE,usDXPE.OQ,DXP Enterprises Inc. Common Stock,工业,贸易,2026-09-08,189.04,-1.9,3.61,2.74,5/8,2960671838.0
DRVN,usDRVN.OQ,Driven Brands Holdings Inc. Common Stock,非必需消费,汽车,2026-09-08,13.22,5.5,-1.52,-2.51,5/8,2144737608.0
EQPT,usEQPT.OQ,EquipmentShare.com Inc Class A Common Stock,非必需消费,贸易,2026-09-08,19.4,-1.8,3.49,-0.77,6/8,4575969892.0
EEFT,usEEFT.OQ,Euronet Worldwide Inc. Common Stock,金融,计算机软件,2026-09-08,71.88,1.4,-2.18,-2.61,6/8,2638823627.0
ENTG,usENTG.OQ,Entegris Inc. Common Stock,工业,半导体,2026-09-08,141.09,-2.2,4.72,1.69,5/8,21767888000.0
ENPH,usENPH.OQ,Enphase Energy Inc. Common Stock,科技,其他电气设备,2026-09-08,38.83,-5.1,7.33,6.76,5/8,5076336653.0
ELVN,usELVN.OQ,Enliven Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-08,59.37,-0.1,0.02,0.08,6/8,4459624868.0
EFSC,usEFSC.OQ,Enterprise Financial Services Corporation Common Stock,金融,银行,2026-09-08,64.0,-2.6,-0.6,-1.02,6/8,2292796142.0
EOSE,usEOSE.OQ,Eos Energy Enterprises Inc. Class A Common Stock,其他,非银行金融,2026-09-08,4.3,6.2,16.09,10.82,7/8,1216320265.0
ECPG,usECPG.OQ,Encore Capital Group Inc Common Stock,金融,非银行金融,2026-09-08,98.86,4.2,1.88,1.6,5/8,2124118005.0
ESQ,usESQ.OQ,Esquire Financial Holdings Inc. Common Stock,金融,银行,2026-09-08,118.28,-8.2,-0.35,-0.57,6/8,1363702321.0
EVRG,usEVRG.OQ,Evergy Inc. Common Stock,公用事业,电力,2026-09-08,82.24,1.0,0.91,0.86,6/8,18959538554.0
ESTA,usESTA.OQ,Establishment Labs Holdings Inc. Common Shares,医疗保健,医疗器械,2026-09-08,75.29,0.3,2.01,1.35,6/8,2159147003.0
EXC,usEXC.OQ,Exelon Corporation Common Stock,公用事业,电力,2026-09-08,43.95,-0.3,0.43,0.71,7/8,45873366293.0
EWBC,usEWBC.OQ,East West Bancorp Inc. Common Stock,金融,银行,2026-09-08,129.25,-2.0,-0.85,-1.16,5/8,17870456378.0
EWTX,usEWTX.OQ,Edgewise Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-08,43.82,-1.7,3.08,1.74,5/8,4819851245.0
EXEL,usEXEL.OQ,Exelixis Inc. Common Stock,医疗保健,生物医药,2026-09-08,57.67,8.9,-2.17,-2.27,6/8,13900552921.0
FBNC,usFBNC.OQ,First Bancorp Common Stock,金融,银行,2026-09-08,64.71,-0.0,0.11,-0.51,5/8,2642571495.0
FCFS,usFCFS.OQ,FirstCash Holdings Inc. Common Stock,非必需消费,非银行金融,2026-09-08,225.42,8.2,0.64,-0.09,5/8,9533989076.0
FBRX,usFBRX.OQ,Forte Biosciences Inc. Common Stock,医疗保健,生物医药,2026-08-26,76.99,0.6,0.05,0.03,6/8,1634427408.0
FFBC,usFFBC.OQ,First Financial Bancorp. Common Stock,金融,银行,2026-09-08,32.61,-2.2,-0.8,-1.12,6/8,3439832164.0
FIBK,usFIBK.OQ,First Interstate BancSystem Inc. Common Stock (DE),金融,银行,2026-09-08,37.22,-0.4,-1.01,-1.66,6/8,3545331380.0
FIGR,usFIGR.OQ,Figure Technology Solutions Inc. Class A Common Stock,金融,非银行金融,2026-09-08,38.27,32.8,7.98,6.42,6/8,8319931494.0
FEIM,usFEIM.OQ,Frequency Electronics Inc. Common Stock,工业,电子设备制造,2026-09-08,65.28,-10.7,8.6,7.6,5/8,664032493.0
FHB,usFHB.OQ,First Hawaiian Inc. Common Stock,金融,银行,2026-09-08,25.81,-4.4,-0.67,-1.0,5/8,3158829259.0
FLEX,usFLEX.OQ,Flex Ltd. Ordinary Shares,科技,电子器件,2026-09-08,114.31,-4.5,5.55,4.38,6/8,41306641000.0
FIVE,usFIVE.OQ,Five Below Inc. Common Stock,非必需消费,零售,2026-09-08,254.07,7.9,3.04,0.74,5/8,14230258580.0
FORM,usFORM.OQ,FormFactor Inc. FormFactor Inc. Common Stock,科技,半导体,2026-09-08,109.86,-2.3,9.68,5.74,5/8,8444850373.0
FRMI,usFRMI.OQ,Fermi Inc. Common Stock,房地产,房地产开发,2026-09-08,5.71,-2.9,14.95,11.52,6/8,3593021822.0
FRNM,usFRNM.OQ,Freenome Inc. Common stock,医疗保健,生物医药,2026-09-08,15.99,37.6,-2.55,-1.96,6/8,1513925609.0
FSLR,usFSLR.OQ,First Solar Inc. Common Stock,科技,半导体,2026-09-08,213.25,-10.9,4.05,4.3,7/8,22131253443.0
FTAI,usFTAI.OQ,FTAI Aviation Ltd. Common Stock,工业,贸易,2026-09-08,196.69,-8.3,0.89,0.21,5/8,20671856206.0
FSUN,usFSUN.OQ,FirstSun Capital Bancorp Common Stock,金融,银行,2026-09-08,40.67,2.5,-0.03,-0.61,6/8,1879663311.0
FTH,usFTH.OQ,Faeth Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-08,39.2,37.2,-0.87,-2.12,5/8,851958812.0
GGAL,usGGAL.OQ,Grupo Financiero Galicia S.A. American Depositary Shares,金融,银行,2026-09-08,44.12,-4.9,-1.01,-0.54,5/8,7053060128.0
GFS,usGFS.OQ,GlobalFoundries Inc. Ordinary Shares,科技,半导体,2026-09-08,45.09,-9.9,0.75,-0.27,5/8,25411576082.0
GLXY,usGLXY.OQ,Galaxy Digital Inc. Class A Common Stock,金融,非银行金融,2026-09-08,27.05,38.6,4.48,2.73,7/8,9631507178.0
GSAT,usGSAT.OQ,Globalstar Inc. Common Stock,非必需消费,通信运营,2026-09-08,82.22,-1.9,0.2,-0.15,5/8,10600876570.0
GPRE,usGPRE.OQ,Green Plains Inc. Common Stock,工业,石油天然气,2026-09-08,15.78,4.6,3.45,2.14,6/8,1043018481.0
GTLB,usGTLB.OQ,GitLab Inc. Class A Common Stock,科技,计算机软件,2026-09-08,47.15,15.8,-4.99,-5.38,5/8,6977259000.0
GTX,usGTX.OQ,Garrett Motion Inc. Common Stock,非必需消费,汽车,2026-09-08,27.99,-3.2,1.49,0.07,8/8,5046511783.0
HIMX,usHIMX.OQ,Himax Technologies Inc. American Depositary Shares,科技,半导体,2026-09-08,14.12,-4.1,3.77,3.22,5/8,2414054650.0
HIVE,usHIVE.OQ,HIVE Digital Technologies Ltd. Common Shares,金融,非银行金融,2026-09-08,3.15,21.2,4.79,1.29,6/8,787175960.0
HOPE,usHOPE.OQ,Hope Bancorp Inc. Common Stock,金融,银行,2026-09-08,13.98,-0.1,-0.54,-1.06,5/8,1778166357.0
HOOD,usHOOD.OQ,Robinhood Markets Inc. Class A Common Stock,金融,非银行金融,2026-09-08,117.34,24.1,-1.79,-3.91,7/8,97586389911.0
HNRG,usHNRG.OQ,Hallador Energy Company Common Stock,公用事业,煤炭,2026-09-08,16.9,6.4,3.05,1.81,5/8,765608118.0
HRMY,usHRMY.OQ,Harmony Biosciences Holdings Inc. Common Stock,医疗保健,化学制药,2026-09-08,42.07,7.9,-0.43,-0.43,7/8,2309655346.0
HNST,usHNST.OQ,The Honest Company Inc. Common Stock,非必需消费,其他轻工,2026-09-08,5.74,9.8,-2.26,-3.53,5/8,613666648.0
HUT,usHUT.OQ,Hut 8 Corp. Common Stock,金融,非银行金融,2026-09-08,99.49,16.1,11.72,6.35,6/8,10477054780.0
HWKN,usHWKN.OQ,Hawkins Inc. Common Stock,非必需消费,化学原料,2026-09-08,127.0,-2.6,-1.27,-1.65,7/8,2475162623.0
