ticker,prefixed,name,sector,industry,date,close,chg20,m,chg1,uptrend,market_cap
ADBE,usADBE.OQ,Adobe Inc. Common Stock,科技,计算机软件,2026-09-01,286.08,11.1,-1.92,-2.29,7/8,108704325000.0
AAPL,usAAPL.OQ,Apple Inc. Common Stock,科技,计算机硬件,2026-09-01,325.13,5.2,2.49,2.61,6/8,4574545721000.0
ADP,usADP.OQ,Automatic Data Processing Inc. Common Stock,科技,计算机软件,2026-09-01,283.49,4.8,-0.97,-0.93,5/8,111785761564.0
AMPL,usAMPL.OQ,Amplitude Inc. Class A Common Stock,科技,计算机软件,2026-09-01,13.83,40.0,-2.57,-1.91,6/8,1618912215.0
ALNY,usALNY.OQ,Alnylam Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-01,246.11,12.4,3.07,2.25,7/8,31980379202.0
ANDE,usANDE.OQ,Andersons Inc. (The) Common Stock,工业,贸易,2026-09-01,67.26,-9.7,4.2,3.68,6/8,2216566187.0
ARCC,usARCC.OQ,Ares Capital Corporation Common Stock,金融,非银行金融,2026-09-01,19.91,1.3,-0.43,-0.8,5/8,14288654616.0
APGE,usAPGE.OQ,Apogee Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-01,135.08,0.7,0.04,0.0,6/8,10214059838.0
APP,usAPP.OQ,Applovin Corporation Class A Common Stock,科技,互联网服务,2026-09-01,311.74,-25.7,-0.68,-0.1,6/8,103109319610.0
APPF,usAPPF.OQ,AppFolio Inc. Class A Common Stock,科技,互联网服务,2026-09-01,225.28,12.9,-3.67,-3.81,6/8,7904364275.0
APPN,usAPPN.OQ,Appian Corporation Class A Common Stock,科技,互联网服务,2026-09-01,40.39,42.0,-4.96,-5.96,5/8,2754081105.0
ASST,usASST.OQ,Strive Inc. Class A Common Stock,科技,非银行金融,2026-09-01,24.0,93.2,3.43,-0.91,7/8,1928193595.0
ASND,usASND.OQ,Ascendis Pharma A/S Ordinary Share,医疗保健,生物医药,2026-09-01,260.25,6.4,1.84,-1.06,5/8,16434739321.0
BKR,usBKR.OQ,Baker Hughes Company Class A Common Stock,非必需消费,石油天然气,2026-09-01,63.66,3.5,1.19,0.17,7/8,61545792402.0
BCRX,usBCRX.OQ,BioCryst Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-01,9.92,10.0,1.54,2.27,6/8,2511910082.0
BL,usBL.OQ,BlackLine Inc. Common Stock,科技,互联网服务,2026-09-01,32.21,-2.7,-3.12,-3.04,5/8,1820483456.0
BLKB,usBLKB.OQ,Blackbaud Inc. Common Stock,科技,计算机软件,2026-09-01,47.78,5.0,-1.13,-0.58,5/8,2137419668.0
BIDU,usBIDU.OQ,Baidu Inc. ADS,科技,互联网服务,2026-09-01,94.86,-15.7,-1.35,-0.44,5/8,31731962978.0
BWMN,usBWMN.OQ,Bowman Consulting Group Ltd. Common Stock,非必需消费,非银行金融,2026-09-01,42.6,53.6,0.06,0.02,5/8,737105970.0
CACC,usCACC.OQ,Credit Acceptance Corporation Common Stock,金融,非银行金融,2026-09-01,594.18,1.1,-0.71,-0.93,5/8,6162327511.0
BGC,usBGC.OQ,BGC Group Inc. Class A Common Stock,金融,非银行金融,2026-09-01,11.99,8.1,-0.59,-0.17,6/8,5658051612.0
BRZE,usBRZE.OQ,Braze Inc. Class A Common Stock,科技,互联网服务,2026-09-01,32.78,24.1,-4.14,-3.7,5/8,3776683607.0
BZ,usBZ.OQ,KANZHUN LIMITED American Depository Shares,科技,互联网服务,2026-09-01,17.55,6.7,-0.37,1.09,5/8,8719259445.0
CABA,usCABA.OQ,Cabaletta Bio Inc. Common Stock,医疗保健,生物医药,2026-09-01,3.3,19.1,4.31,6.11,5/8,551022696.0
CEG,usCEG.OQ,Constellation Energy Corporation Common Stock,公用事业,电力,2026-09-01,280.31,5.0,1.25,2.02,5/8,99035998578.0
CDNA,usCDNA.OQ,CareDx Inc. Common Stock,医疗保健,生物医药,2026-09-01,48.97,4.0,-2.93,-2.27,5/8,2636376004.0
CAPR,usCAPR.OQ,Capricor Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-01,10.01,140.0,1.72,1.01,5/8,544180937.0
CDW,usCDW.OQ,CDW Corporation Common Stock,非必需消费,电子器件,2026-09-01,150.3,-1.9,0.29,-0.84,8/8,17684965082.0
CHRD,usCHRD.OQ,Chord Energy Corporation Common Stock,能源,石油天然气,2026-09-01,150.41,10.8,2.63,2.24,7/8,7665359782.0
CHEF,usCHEF.OQ,The Chefs' Warehouse Inc. Common Stock,非必需消费,贸易,2026-09-01,115.52,5.0,2.26,2.71,7/8,4569569257.0
CENX,usCENX.OQ,Century Aluminum Company Common Stock,工业,基本金属,2026-09-01,46.78,-0.7,1.61,2.21,6/8,4350755315.0
CHKP,usCHKP.OQ,Check Point Software Technologies Ltd. Ordinary Shares,科技,计算机软件,2026-09-01,134.47,8.5,-2.25,-3.2,7/8,13176086818.0
CNXN,usCNXN.OQ,PC Connection Inc. Common Stock,非必需消费,电子器件,2026-09-01,80.07,-7.5,0.15,0.25,5/8,2003652680.0
CME,usCME.OQ,CME Group Inc. Class A Common Stock,金融,非银行金融,2026-09-01,285.1,9.1,0.62,0.33,8/8,101034581318.0
CLOV,usCLOV.OQ,Clover Health Investments Corp. Class A Common Stock,医疗保健,医疗服务,2026-09-01,4.3,0.7,2.63,3.61,6/8,2257414118.0
CLMT,usCLMT.OQ,Calumet Inc. Common Stock,能源,石油天然气,2026-09-01,51.52,24.0,6.68,3.6,7/8,4200656603.0
COKE,usCOKE.OQ,Coca-Cola Consolidated Inc. Common Stock,必需消费,饮料,2026-09-01,193.16,6.7,-1.57,-1.23,6/8,12914804322.0
CRAI,usCRAI.OQ,CRA International Inc. Common Stock,非必需消费,专业服务,2026-09-01,172.48,-4.3,-1.01,-1.16,5/8,1071397233.0
CNXC,usCNXC.OQ,Concentrix Corporation Common Stock,科技,互联网服务,2026-09-01,32.28,26.6,9.53,7.24,7/8,1699971231.0
CRWD,usCRWD.OQ,CrowdStrike Holdings Inc. Class A Common Stock,科技,计算机软件,2026-09-01,215.07,1.8,-5.04,-6.9,6/8,192634290590.0
CRNX,usCRNX.OQ,Crinetics Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-08-31,84.95,1.4,0.13,0.13,6/8,8998574028.0
CTSH,usCTSH.OQ,Cognizant Technology Solutions Corporation Class A Common Stock,科技,计算机软件,2026-09-01,63.39,13.6,-1.34,-1.84,7/8,27968080937.0
CZR,usCZR.OQ,Caesars Entertainment Inc. Common Stock,非必需消费,休闲服务,2026-09-01,29.67,-1.5,-0.09,-0.1,6/8,6042346234.0
DUOL,usDUOL.OQ,Duolingo Inc. Class A Common Stock,科技,教育,2026-09-01,158.77,15.3,8.14,7.02,7/8,6591249577.0
DOCU,usDOCU.OQ,DocuSign Inc. Common Stock,科技,互联网服务,2026-09-01,64.64,12.3,-0.67,-2.46,6/8,11328743593.0
DOX,usDOX.OQ,Amdocs Limited Ordinary Shares,科技,计算机软件,2026-09-01,62.6,10.4,-0.54,-0.73,8/8,6719858803.0
EBAY,usEBAY.OQ,eBay Inc. Common Stock,非必需消费,互联网服务,2026-09-01,104.98,-3.9,1.1,1.37,5/8,46369000000.0
DSGX,usDSGX.OQ,Descartes Systems Group Inc. (The) Common Stock,科技,计算机软件,2026-09-01,80.43,3.9,-0.7,-0.26,8/8,6640182184.0
ETOR,usETOR.OQ,eToro Group Ltd. Class A Common Shares,金融,非银行金融,2026-09-01,31.81,-14.6,0.22,-0.53,5/8,2457468620.0
FBRX,usFBRX.OQ,Forte Biosciences Inc. Common Stock,医疗保健,生物医药,2026-08-26,76.99,0.6,0.05,0.03,6/8,1634427408.0
EXEL,usEXEL.OQ,Exelixis Inc. Common Stock,医疗保健,生物医药,2026-09-01,56.89,1.6,3.99,4.12,6/8,13900552921.0
EXPO,usEXPO.OQ,Exponent Inc. Common Stock,非必需消费,专业服务,2026-09-01,69.99,3.6,-1.26,-1.0,5/8,3344391549.0
EXE,usEXE.OQ,Expand Energy Corporation Common Stock,能源,石油天然气,2026-09-01,99.98,8.1,1.89,1.85,6/8,22356320904.0
FRSH,usFRSH.OQ,Freshworks Inc. Class A Common Stock,科技,计算机软件,2026-09-01,13.46,11.8,-2.85,-3.3,5/8,3368487167.0
FFIV,usFFIV.OQ,F5 Inc. Common Stock,Telecommunications,通信设备,2026-09-01,395.72,-4.0,-2.0,-2.8,6/8,22627655655.0
FIVN,usFIVN.OQ,Five9 Inc. Common Stock,科技,互联网服务,2026-09-01,34.03,14.2,-1.1,-1.53,6/8,2391152992.0
FRVO,usFRVO.OQ,Fervo Energy Company Class A common stock,公用事业,电力,2026-09-01,19.75,-13.2,29.07,28.41,5/8,4551143793.0
FRHC,usFRHC.OQ,Freedom Holding Corp. Common Stock,金融,非银行金融,2026-09-01,171.87,11.2,-1.27,-1.79,7/8,10866228903.0
FRNM,usFRNM.OQ,Freenome Inc. Common stock,医疗保健,生物医药,2026-09-01,15.25,39.8,4.37,3.11,7/8,1513925609.0
FTNT,usFTNT.OQ,Fortinet Inc. Common Stock,科技,计算机软件,2026-09-01,161.85,-3.8,-4.67,-5.31,5/8,115589248894.0
GEN,usGEN.OQ,Gen Digital Inc. Common Stock,科技,计算机软件,2026-09-01,30.02,6.6,-2.86,-3.16,6/8,17742119628.0
GILD,usGILD.OQ,Gilead Sciences Inc. Common Stock,医疗保健,生物医药,2026-09-01,149.92,10.8,2.24,2.45,5/8,183624958904.0
GTM,usGTM.OQ,ZoomInfo Technologies Inc Common Stock,科技,互联网服务,2026-09-01,4.12,13.8,-1.79,-2.83,6/8,1106218175.0
HNRG,usHNRG.OQ,Hallador Energy Company Common Stock,公用事业,煤炭,2026-09-01,16.37,8.2,-0.71,-1.27,5/8,765608118.0
GTLB,usGTLB.OQ,GitLab Inc. Class A Common Stock,科技,计算机软件,2026-09-01,45.09,23.6,-1.29,-3.12,7/8,6977259000.0
HTZ,usHTZ.OQ,Hertz Global Holdings Inc Common Stock,非必需消费,物流,2026-09-01,2.24,48.3,2.7,-1.32,6/8,744983411.0
HNST,usHNST.OQ,The Honest Company Inc. Common Stock,非必需消费,其他轻工,2026-09-01,5.63,44.7,-1.45,-1.57,5/8,613666648.0
HRMY,usHRMY.OQ,Harmony Biosciences Holdings Inc. Common Stock,医疗保健,化学制药,2026-09-01,41.25,6.4,4.63,4.75,8/8,2309655346.0
INBX,usINBX.OQ,Inhibrx Biosciences Inc. Common Stock,医疗保健,生物医药,2026-09-01,124.66,49.2,-0.38,-1.61,7/8,1844711504.0
HWKN,usHWKN.OQ,Hawkins Inc. Common Stock,非必需消费,化学原料,2026-09-01,124.58,-6.7,4.02,3.58,7/8,2475162623.0
HTFL,usHTFL.OQ,Heartflow Inc. Common Stock,医疗保健,医疗器械,2026-09-01,50.43,84.9,2.67,0.08,6/8,4255510505.0
IPAR,usIPAR.OQ,Interparfums Inc. Common Stock,非必需消费,其他轻工,2026-09-01,117.11,-8.9,-0.33,-0.27,5/8,3736447869.0
INTA,usINTA.OQ,Intapp Inc. Common Stock,科技,计算机软件,2026-09-01,42.22,28.8,-2.87,-2.65,5/8,3091050379.0
