ticker,prefixed,name,sector,industry,date,close,chg20,m,chg1,uptrend,market_cap
ADMA,usADMA.OQ,ADMA Biologics Inc Common Stock,医疗保健,生物医药,2026-09-09,9.45,-4.6,-1.27,-0.94,6/8,2156972468.0
ADUS,usADUS.OQ,Addus HomeCare Corporation Common Stock,医疗保健,医疗服务,2026-09-09,119.23,2.0,0.17,-0.08,6/8,2254174753.0
ACT,usACT.OQ,Enact Holdings Inc. Common Stock,金融,非银行金融,2026-09-09,49.55,1.4,0.44,0.51,7/8,6765571450.0
ALAB,usALAB.OQ,Astera Labs Inc. Common Stock,科技,半导体,2026-09-09,300.54,-3.7,2.32,4.05,6/8,50362725691.0
AIP,usAIP.OQ,Arteris Inc. Common Stock,科技,通信设备,2026-09-09,22.67,-17.4,3.64,-0.22,5/8,1121159447.0
ABVX,usABVX.OQ,Abivax SA American Depositary Shares,医疗保健,化学制药,2026-09-09,119.46,-5.8,2.39,0.43,7/8,10031735218.0
ABUS,usABUS.OQ,Arbutus Biopharma Corporation Common Stock,医疗保健,生物医药,2026-09-09,5.17,10.7,0.22,-0.19,6/8,1026830264.0
AEP,usAEP.OQ,American Electric Power Company Inc. Common Stock,公用事业,电力,2026-09-09,124.67,0.9,-0.26,-0.6,6/8,67156857343.0
ADEA,usADEA.OQ,Adeia Inc. Common Stock,Telecommunications,广播电视,2026-09-09,26.79,-3.2,0.62,-1.51,5/8,2881620320.0
ACLS,usACLS.OQ,Axcelis Technologies Inc. Common Stock,科技,半导体,2026-09-09,115.56,-14.6,-0.45,-3.03,5/8,3716896016.0
AEHR,usAEHR.OQ,Aehr Test Systems Common Stock,工业,半导体,2026-09-09,95.56,-18.5,10.92,5.25,7/8,2972375404.0
AKAM,usAKAM.OQ,Akamai Technologies Inc. Common Stock,非必需消费,互联网服务,2026-09-09,110.75,-5.1,4.81,4.87,5/8,15530016769.0
AEIS,usAEIS.OQ,Advanced Energy Industries Inc. Common Stock,科技,半导体,2026-09-09,285.52,-12.8,0.76,-1.11,5/8,11336678113.0
ALNT,usALNT.OQ,Allient Inc. Common Stock,工业,其他电气设备,2026-09-09,95.91,-15.8,1.82,0.29,5/8,1582083649.0
ALT,usALT.OQ,Altimmune Inc. Common Stock,医疗保健,生物医药,2026-09-09,3.35,11.7,-0.02,-0.3,7/8,612730758.0
AMKR,usAMKR.OQ,Amkor Technology Inc. Common Stock,科技,半导体,2026-09-09,51.35,-5.3,4.75,1.24,6/8,12025099645.0
AHCO,usAHCO.OQ,AdaptHealth Corp. Common Stock,医疗保健,医药商业,2026-09-09,5.7,0.9,-9.85,-7.92,6/8,773071591.0
APA,usAPA.OQ,APA Corporation Common Stock,能源,石油天然气,2026-09-09,44.84,10.4,3.23,2.96,6/8,14430978697.0
ALNY,usALNY.OQ,Alnylam Pharmaceuticals Inc. Common Stock,医疗保健,生物医药,2026-09-09,258.0,16.6,-1.81,-0.81,5/8,31980379202.0
APLD,usAPLD.OQ,Applied Digital Corporation Common Stock,科技,计算机软件,2026-09-09,27.14,-8.6,-0.24,-4.13,6/8,7831775039.0
AMD,usAMD.OQ,Advanced Micro Devices Inc. Common Stock,科技,半导体,2026-09-09,521.1,9.9,7.1,3.04,7/8,785106221949.0
ANDE,usANDE.OQ,Andersons Inc. (The) Common Stock,工业,贸易,2026-09-09,71.32,11.3,1.68,0.56,7/8,2216566187.0
ASML,usASML.OQ,ASML Holding N.V. New York Registry Shares,科技,半导体,2026-09-09,1729.52,-3.9,0.27,-2.0,6/8,672800492731.0
APGE,usAPGE.OQ,Apogee Therapeutics Inc. Common Stock,医疗保健,生物医药,2026-09-02,135.07,0.6,0.01,-0.01,7/8,10214059838.0
ASO,usASO.OQ,Academy Sports and Outdoors Inc. Common Stock,非必需消费,零售,2026-09-09,51.15,3.2,14.77,14.4,6/8,2700900057.0
ARXS,usARXS.OQ,Arxis Inc. Class A Common Stock,工业,航空航天装备,2026-09-09,52.43,-9.8,-1.68,-1.43,5/8,22472645337.0
ASST,usASST.OQ,Strive Inc. Class A Common Stock,科技,非银行金融,2026-09-09,26.69,111.5,-1.46,-1.73,6/8,1928193595.0
ARM,usARM.OQ,Arm Holdings plc American Depositary Shares,科技,半导体,2026-09-09,264.23,-1.7,3.74,1.03,6/8,267141711567.0
AMSC,usAMSC.OQ,American Superconductor Corporation Common Stock,非必需消费,其他电气设备,2026-09-09,29.31,-8.8,-1.89,-3.71,5/8,1428558797.0
AXSM,usAXSM.OQ,Axsome Therapeutics Inc. Common Stock,医疗保健,化学制药,2026-09-09,210.63,-2.4,1.47,1.35,5/8,10850686449.0
AUR,usAUR.OQ,Aurora Innovation Inc. Class A Common Stock,科技,基本金属,2026-09-09,6.5,-6.5,1.25,-0.15,6/8,11543934344.0
ATRC,usATRC.OQ,AtriCure Inc. Common Stock,医疗保健,医疗器械,2026-09-09,53.03,23.5,0.45,-1.3,8/8,2450229382.0
ASPI,usASPI.OQ,ASP Isotopes Inc. Common Stock,工业,化学原料,2026-09-09,3.82,-11.6,-7.86,-9.48,5/8,604805504.0
AVAH,usAVAH.OQ,Aveanna Healthcare Holdings Inc. Common Stock,医疗保健,医疗服务,2026-09-09,14.02,56.6,2.85,2.64,6/8,2972152260.0
